PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
33078122,78293267,28428,0,12,2742,56,
33040420,81919691,25061,0,12,1390,27,
40245651,109508590,26288,0,12,2143,20,
46441379,94741094,170266,0,1348,2064,971,
34685373,78259696,21493,0,8,2067,21,
33134013,78527068,26000,0,13,1890,12,
35635281,109503190,28625,0,15,1563,6,
46195420,105558124,25530,0,12,1891,16,
39045031,78267766,20921,0,7,2079,20,
33046357,92500591,27852,0,12,1594,20,
44640175,109554050,25601,0,12,2133,27,
46235189,84299126,26597,0,11,1915,62,
33051894,78304734,25128,0,8,2390,9,
33036285,82564664,25263,0,12,1389,16,
39938275,109503198,26421,0,12,1950,41,
46218405,95443141,26236,0,12,2136,16,
34696808,78300248,23153,0,7,2063,15,
33056937,78334548,25998,0,13,1814,7,
35748047,109505803,25442,0,11,1566,20,
46215610,105327149,28034,0,12,1911,26,
38914926,78287643,20590,0,7,1964,12,
33037948,92855185,25058,0,12,1432,26,
44680046,109509126,28106,0,12,2075,12,
46201286,84108408,21470,0,11,1565,18,
33018487,78275232,25118,0,8,2281,1,
33030204,82867302,26228,0,12,1496,20,
40497325,109509757,28051,0,13,1981,26,
46183490,94131116,25594,0,12,1938,41,
34172452,78299548,20565,0,7,1944,6,
33038120,78289544,29054,0,13,1987,23,
36244256,109554221,25058,0,11,1455,4,
46187572,104105864,25126,0,13,1836,19,
38401851,78301637,23143,0,7,2012,34,
33034606,78281413,26000,0,14,1828,23,
33032744,107164639,29653,0,12,1860,15,
46183913,109509600,21007,0,11,1478,16,
42607069,78302274,25176,0,12,2005,28,
33035747,78286779,21713,0,12,2195,7,
33040962,97096812,29629,0,12,1958,23,
46187617,109463255,23558,0,11,1592,28,
33682011,78286399,20567,0,7,1994,20,
33073266,78291454,32431,0,13,2202,25,
36672981,109506556,28529,0,11,1647,12,
46213108,103172115,25095,0,13,2084,31,
38011919,78288852,20533,0,7,2129,6,
33048328,78303137,26049,0,14,1904,19,
33066471,107770320,36364,0,12,2286,38,
46165706,109503190,20997,0,11,1581,12,
42353507,78298260,25161,0,12,2151,28,
33033352,78299696,21444,0,12,2014,10,
33035695,97670534,29585,0,12,1865,28,
46189759,109508625,21395,0,11,1539,15,
33477405,78359206,25118,0,9,2111,31,
33024590,78279035,27161,0,13,2056,18,
36970397,109508577,25140,0,11,1503,5,
