PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
48585953,193998522,0,20213,64,96,108,48543390,0,0,0,
39804040,169022986,0,23103,52,25,111,47956155,0,0,0,
39855160,169248667,0,22413,53,39,114,46273824,0,0,0,
39748497,168783033,0,21747,55,58,114,44656563,0,0,0,
39886727,169537626,0,24265,54,31,113,43033679,0,0,0,
39684998,168767624,0,23511,69,36,110,41741658,0,0,0,
49685541,196843919,0,24913,112,42,113,41809224,0,0,0,
49606356,197117761,0,22800,114,42,115,41732984,0,0,0,
49643166,196930848,0,21545,115,22,114,41739622,0,0,0,
49566809,196639819,0,23486,116,57,115,41724247,0,0,0,
49603872,196951122,0,19754,114,44,114,41732746,0,0,0,
49688821,197247357,0,20005,113,42,113,41788867,0,0,0,
49728202,197281210,0,20323,114,21,112,41815536,0,0,0,
39801839,169019386,0,16602,117,29,117,50141564,0,0,0,
39718220,169087616,0,15283,117,35,115,50147319,0,0,0,
39702266,168882743,0,17249,120,48,117,50137198,0,0,0,
39720499,169264421,0,16475,118,19,117,50244002,0,0,0,
39724103,168863229,0,14664,113,48,112,50229005,0,0,0,
37802002,163309682,0,15276,113,28,80,50276519,0,0,0,
37826809,163613640,0,20350,119,38,42,50202702,0,0,0,
37880254,163736139,0,18451,118,0,40,50214551,0,0,0,
38109244,163988630,3,15708,291,79,41,50151695,0,3,0,
37838210,163347773,0,17667,129,10,43,50366108,0,0,0,
37754361,163201272,0,16930,96,31,42,49656980,0,0,0,
38099921,164115879,0,20136,63,20,40,48707325,0,0,0,
38219963,164325033,0,22184,63,51,41,48820398,0,0,0,
38147542,163961116,0,21846,60,24,40,48827883,0,0,0,
37706586,163042160,0,20911,64,13,41,48605251,0,0,0,
37798448,163248212,0,16231,64,39,42,48646251,0,0,0,
38404274,165085648,0,15393,62,17,65,48845716,0,0,0,
39972619,169375675,0,15821,63,60,111,48744746,0,0,0,
41323950,173279371,0,17138,66,21,112,48762854,0,0,0,
42745970,177015005,0,18847,62,39,114,48781294,0,0,0,
44242648,181422713,0,17257,74,54,123,48761602,0,0,0,
45734452,185943292,0,18131,65,3,112,48604746,0,0,0,
47519634,191052814,0,17008,61,40,111,48521568,0,0,0,
49474862,196609555,0,16434,63,43,109,48525226,0,0,0,
39728152,168694645,0,20397,55,63,116,47297134,0,0,0,
39724121,168724192,0,17981,52,20,112,46054672,0,0,0,
39724976,168569126,0,19019,55,23,115,44762268,0,0,0,
39724305,168500636,0,23871,52,45,114,43637190,0,0,0,
39724520,168672328,0,22319,127,136,188,42395326,0,0,0,
39805624,169389446,0,18920,68,20,109,41723901,0,0,0,
49764058,197374253,0,22476,116,20,116,41883787,0,0,0,
49688232,196906914,0,22465,117,35,117,41764208,0,0,0,
49605151,196674028,0,22286,115,22,117,41674573,0,0,0,
49647717,196967126,0,19153,117,48,116,41824801,0,0,0,
49606949,197102890,0,21594,113,47,115,41714267,0,0,0,
49609186,196688831,0,24743,112,59,112,41618931,0,0,0,
39599888,168589098,0,21864,117,14,117,50013508,0,0,0,
39718752,168895933,0,17077,119,34,118,50041081,0,0,0,
39721810,169158392,0,15961,117,45,174,50133625,0,0,0,
39798072,168968276,0,14769,118,32,118,50066641,0,0,0,
39649245,168765466,0,15484,117,20,114,49963625,0,0,0,
39596441,168891042,0,15947,115,46,115,50082443,0,0,0,
39641874,166849005,0,15718,113,57,113,50083246,0,0,0,
39718039,163659120,0,18728,115,31,115,50191524,0,0,0,
39641699,164192034,0,16551,119,51,118,50161420,0,0,0,
39684040,164361517,0,14509,120,79,120,50124264,0,0,0,
39782738,163619863,0,15574,120,93,119,50204925,0,0,0,
39722187,163156116,0,17548,120,43,117,50341481,0,0,0,
38732703,163616417,0,16876,114,42,80,50175885,0,0,0,
38130291,164135703,0,19128,126,66,47,50113957,0,0,0,
38152410,164240377,0,16819,117,44,40,50089661,0,0,0,
37994435,163958354,0,16501,120,10,40,50140015,0,0,0,
37857696,163760049,0,14465,119,54,41,50214203,0,0,0,
37773492,163262138,0,17165,120,37,41,50277314,0,0,0,
38056271,164116227,0,18111,91,20,40,49847833,0,0,0,
38100409,164247298,0,15881,63,61,40,48894704,0,0,0,
38041896,164184743,0,17169,61,31,40,48769926,0,0,0,
38208166,164166862,0,17755,60,43,40,48912869,0,0,0,
38079623,163773837,0,19831,62,17,40,48806587,0,0,0,
38036993,163811506,0,20007,64,20,42,48839957,0,0,0,
37983708,163514766,0,15786,60,55,40,48683256,0,0,0,
39015525,166653565,0,16221,62,19,66,48708768,0,0,0,
40792424,171634815,0,20413,62,41,109,48715707,0,0,0,
42485652,176559792,0,21221,62,28,110,48640081,0,0,0,
