PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
338792460,1406523733,0,12345,311,435,407,473646151,0,0,0,
348771867,1432654268,0,12696,351,265,417,473082622,0,0,0,
338812099,1403922352,0,11295,353,275,415,482000201,0,0,0,
338773515,1401891553,0,12630,353,310,446,481351842,0,0,0,
338816304,1392548707,0,11489,349,229,410,482194084,0,0,0,
338766736,1402550370,0,13097,361,331,422,478069521,0,0,0,
338811289,1393337352,0,12123,352,290,414,481943049,0,0,0,
338784188,1388623945,0,11652,354,284,415,482043515,0,0,0,
337258501,1393375783,2,19436,526,409,562,481191418,0,2,0,
333978418,1390166063,0,12096,357,379,362,481909343,0,0,0,
334157042,1390154898,0,12083,330,269,340,481172337,0,0,0,
334100811,1390369383,0,12748,310,324,351,477427477,0,0,0,
339344904,1398365438,0,12119,301,283,341,480311979,0,0,0,
333797446,1389724673,0,12560,299,247,344,477355563,0,0,0,
338131022,1406316341,0,11127,300,260,364,475001165,0,0,0,
347242048,1430924274,0,12166,299,274,405,475257193,0,0,0,
338787016,1408117502,0,12717,308,280,408,474027150,0,0,0,
348778773,1430689370,0,11847,354,413,416,472461950,0,0,0,
338800717,1396895861,0,12396,357,264,421,479700009,0,0,0,
368663447,1425676209,0,11861,365,252,430,471798394,0,0,0,
338816490,1407086420,0,12767,353,408,416,483290219,0,0,0,
338808444,1393644057,0,12044,349,247,411,481596300,0,0,0,
338770718,1392313095,0,12552,355,313,422,481461461,0,0,0,
338814454,1392686851,0,12380,354,257,414,481231888,0,0,0,
336279749,1392498136,0,11626,358,338,381,481285040,0,0,0,
341165147,1416293987,0,13182,358,488,388,475184844,0,0,0,
338765849,1389679453,0,12117,355,290,422,481922407,0,0,0,
338815503,1390112990,0,11974,352,261,413,481903481,0,0,0,
334533965,1389869230,0,12466,349,266,379,481934254,0,0,0,
334017711,1390051975,0,11398,356,260,341,481921688,0,0,0,
334877302,1391293202,0,12358,329,290,345,479012138,0,0,0,
332598702,1387721989,0,11589,301,280,341,476594219,0,0,0,
337533881,1397157678,0,12206,300,296,365,478398389,0,0,0,
340157900,1407399420,0,12377,300,341,409,477210347,0,0,0,
345167174,1420468333,0,11591,303,359,415,477673555,0,0,0,
338820586,1402785057,0,12138,295,430,411,477074662,0,0,0,
338813186,1406865101,0,11236,395,477,506,473549981,0,0,0,
348782954,1437189787,0,13147,386,480,427,474518777,0,0,0,
338810995,1403998523,0,12706,355,399,417,482051775,0,0,0,
338802053,1391734401,0,12663,438,574,443,483389814,0,0,0,
333176991,1381849375,0,12393,352,293,380,483959453,0,0,0,
329577956,1383696224,0,11275,331,363,343,479164438,0,0,0,
333366410,1393442998,2,13412,372,513,561,475038059,0,2,0,
342176409,1414861325,0,12534,315,312,432,476219867,0,0,0,
338817999,1404574345,0,11854,291,226,410,476771700,0,0,0,
338777684,1392581236,0,12650,293,303,410,476854354,0,0,0,
338823312,1403488643,0,10979,292,285,410,475976134,0,0,0,
