PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_LL_MISS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
184699452,438018988,1,31,112,1,0,
184699205,438015296,0,24,94,0,0,
184689147,438016637,0,24,117,0,0,
184710069,438013268,0,24,90,0,0,
184750111,438104329,0,24,111,0,0,
184729990,438018403,0,24,109,0,0,
184755416,438105243,0,24,78,0,0,
184712555,438013098,0,24,91,0,0,
184771253,438109624,0,25,157,0,0,
184686235,438002633,0,24,62,0,0,
184773147,438193522,0,24,93,0,0,
184755287,438035086,0,25,183,0,0,
184719112,438006217,0,24,106,0,0,
184752364,438020860,0,48,133,0,0,
184707492,438021599,0,24,108,0,0,
184748163,438015529,0,24,125,0,0,
184779832,438103726,0,28,103,0,0,
184738575,438103620,0,24,89,0,0,
184751909,438018241,2,36,102,2,0,
184810022,438196453,0,33,104,0,0,
184768056,438005023,0,24,238,0,0,
184786100,438097533,0,24,183,0,0,
184689282,437834042,0,24,150,0,0,
184722785,438091260,0,24,77,0,0,
184753070,438104361,0,24,110,0,0,
184744267,438104169,0,24,74,0,0,
184661677,437924730,0,24,91,0,0,
184663668,437926053,0,24,89,0,0,
184706544,438003946,0,24,122,0,0,
184788988,438189837,0,24,105,0,0,
184738538,438104113,0,24,83,0,0,
184685264,437929797,1,29,149,1,0,
184748821,438018795,0,25,110,0,0,
184707686,437927180,0,24,63,0,0,
184746220,438015860,0,24,154,0,0,
184764913,438105360,0,24,97,0,0,
184939406,438244324,0,1738,117,0,0,
184778527,438025548,0,37,209,0,0,
184749281,438019120,0,26,153,0,0,
184883896,438102898,0,24,80,0,0,
184730440,438021222,0,24,134,0,0,
184693037,438016077,0,24,76,0,0,
184754164,438108468,0,88,135,0,0,
184780096,438107795,0,24,117,0,0,
184720661,438014697,0,24,116,0,0,
184701230,438023310,0,24,100,0,0,
184680033,437925764,0,24,90,0,0,
184771349,438189172,0,24,142,0,0,
184748306,438099232,0,24,122,0,0,
184669113,437927838,0,24,85,0,0,
184684450,437927039,0,24,123,0,0,
184707026,438011019,0,24,86,0,0,
184721751,438015507,0,24,92,0,0,
184667639,437915817,1,31,94,1,0,
184769888,438103272,0,30,143,0,0,
184809382,438194121,0,24,146,0,0,
184765117,438105392,0,24,88,0,0,
184769344,438112928,0,24,141,0,0,
184677048,438015841,0,24,77,0,0,
184728572,438105559,0,24,65,0,0,
184766370,438106770,0,24,123,0,0,
184577064,437736318,0,24,77,0,0,
184774251,438100067,0,24,102,0,0,
