PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
105286431,314957597,11,2167108,65,762,62,41617093,0,11,0,
105249363,311888110,10,2162656,45,942,43,43465734,0,10,0,
111993901,319153451,10,2173344,44,950,50,44319904,0,10,0,
116339630,324459279,10,2155818,19,864,44,44323846,0,10,0,
116418650,324598324,10,2172711,31,211,35,44336626,0,10,0,
117808503,325768443,11,2193544,125,546,719,43401326,0,11,0,
112391231,324447492,12,2173818,64,1221,27,41615371,0,12,0,
105285718,321330092,12,2173082,77,892,77,41612285,0,12,0,
105283800,311988984,11,2170144,71,868,69,42020544,0,11,0,
106054827,312563721,12,2155923,212,1134,180,44354869,0,12,0,
116331959,324488385,12,2150656,20,1017,64,44324108,0,12,0,
116327662,324471112,11,2165086,22,392,54,44319128,0,11,0,
116321770,324476272,11,2162713,35,452,40,44316569,0,11,0,
116420500,324605602,12,2177220,210,503,23,42036071,0,12,0,
107758594,324504810,12,2168448,68,1063,29,41609264,0,12,0,
105284491,316385199,12,2184796,67,927,64,41606020,0,12,0,
105286234,311931726,10,2160000,50,1055,51,43156957,0,10,0,
110636263,317712583,12,2153653,56,842,60,44317638,0,12,0,
116390717,324574984,12,2160597,26,991,66,44314329,0,12,0,
116539690,324582521,11,2179019,25,750,50,44343006,0,11,0,
116353025,324484292,12,2174789,59,579,16,43752824,0,12,0,
115084698,324622363,10,2179500,52,960,26,41617914,0,10,0,
105285564,324166916,12,2180627,69,1017,65,41553281,0,12,0,
105282444,311960636,11,2180761,50,955,49,41610805,0,11,0,
105290885,311999255,11,2162991,51,702,51,44299882,0,11,0,
115494974,322916068,10,2149432,41,901,47,44324781,0,10,0,
116328022,324460705,11,2162533,17,877,52,44314416,0,11,0,
116308710,324438590,11,2165303,31,418,51,44317355,0,11,0,
116391918,324554085,11,2177898,54,464,16,42687693,0,11,0,
110397266,324466464,11,2159296,53,974,26,41614932,0,11,0,
105202547,319161776,10,2172409,50,937,46,41579264,0,10,0,
105284979,312013208,11,2166099,55,963,53,42547131,0,11,0,
108103653,314943100,11,2165028,51,856,63,44319364,0,11,0,
116343019,324463168,11,2155604,19,803,49,44316740,0,11,0,
116295501,324358607,12,2160354,29,412,53,44306428,0,12,0,
116297965,324446998,10,2174823,45,412,13,44355548,0,10,0,
116391874,324582528,12,2175040,61,854,16,41605353,0,12,0,
105738558,324499768,11,2166389,51,657,29,41601833,0,11,0,
105284571,314253367,10,2173901,50,1018,45,41606109,0,10,0,
105285347,312020612,11,2172245,52,822,50,43634534,0,11,0,
112652105,319836597,12,2157175,48,942,56,44320848,0,12,0,
116408871,324611466,9,2158605,21,755,43,44346246,0,9,0,
116370823,324481302,10,2183337,29,361,36,44328679,0,10,0,
116392444,324543232,10,2160401,51,567,14,43309016,0,10,0,
113134741,324461192,11,2168059,52,929,27,41614591,0,11,0,
105287223,322210983,11,2161485,47,1003,46,41611169,0,11,0,
105281787,311941070,9,2178976,44,986,41,41850701,0,9,0,
105290049,311911361,10,2157394,42,869,42,44344386,0,10,0,
116373609,324573696,11,2157713,49,876,17,44335532,0,11,0,
116343884,324478873,11,2169514,41,1085,16,44325798,0,11,0,
116349825,324475829,10,2176872,21,795,30,44335063,0,10,0,
116342228,324521185,11,2171959,32,367,51,42209357,0,11,0,
108560613,324613794,9,2172760,49,472,50,41580400,0,9,0,
105283310,317163632,11,2179572,56,973,56,41614552,0,11,0,
105281697,311908820,9,2174763,46,1358,42,42985596,0,9,0,
110161025,316748661,10,2157186,45,926,32,44354862,0,10,0,
116383343,324606052,10,2165209,39,1005,18,44331424,0,10,0,
116308744,324447286,9,2170731,20,876,28,44315386,0,9,0,
116360456,324570696,10,2160504,28,505,44,43937963,0,10,0,
115773399,324556119,11,2182172,50,422,50,41597536,0,11,0,
105289170,324450796,10,2170334,48,878,44,41613690,0,10,0,
105285834,311977174,10,2160395,42,933,41,41608056,0,10,0,
105287279,311946264,11,2165956,53,1073,49,44085633,0,11,0,
114657591,321996704,9,2151146,45,935,33,44337004,0,9,0,
116338200,324483527,11,2155444,40,1029,18,44317277,0,11,0,
116371224,324562636,9,2175409,21,794,28,44336370,0,9,0,
116479238,324712059,12,2172959,50,464,199,42817234,0,12,0,
111032852,324455768,10,2181043,50,428,47,41608153,0,10,0,
105244899,319987744,10,2173357,58,992,60,41592543,0,10,0,
105285521,312026163,10,2179175,49,851,49,42374266,0,10,0,
107375064,314196333,11,2166433,49,1029,40,44321798,0,11,0,
116373705,324575742,9,2159618,42,1035,17,44336415,0,9,0,
116356067,324537150,10,2172970,20,938,19,44338407,0,10,0,
116293557,324455015,11,2175728,24,372,54,44313145,0,11,0,
116345565,324561544,9,2161165,33,353,46,41645680,0,9,0,
106500454,324382907,10,2174290,48,636,45,41618320,0,10,0,
105287284,315094225,10,2188393,57,868,55,41609321,0,10,0,
105286956,312015283,11,2168247,51,858,50,43447557,0,11,0,
111859723,319021849,11,2160237,54,976,40,44318804,0,11,0,
117525276,325771815,10,2161066,501,904,398,44781490,0,10,0,
116308778,324378726,11,2160438,25,1046,34,44305776,0,11,0,
116335062,324460744,11,2175882,30,427,56,43247109,0,11,0,
112943812,324593106,10,2165708,114,320,113,41603907,0,10,0,
105287362,322015101,12,2174436,61,1018,60,41616950,0,12,0,
105286907,311954599,11,2158597,62,843,60,41914825,0,11,0,
105538601,312280153,11,2158776,59,637,52,44341826,0,11,0,
116273010,324358051,12,2155168,63,890,16,44299472,0,12,0,
116286371,324442892,9,2175018,19,854,19,44315189,0,9,0,
116356031,324488369,11,2165090,18,631,28,44324178,0,11,0,
116302969,324424665,11,2161535,29,230,48,42174622,0,11,0,
108490384,324489918,9,2160713,47,230,45,41614131,0,9,0,
105283045,317233140,10,2170612,48,852,46,41613502,0,10,0,
105285340,312020052,11,2176030,52,883,50,42973460,0,11,0,
109926104,316960679,11,2157722,60,996,51,44336116,0,11,0,
116373595,324546924,11,2160014,46,865,15,44331457,0,11,0,
116347810,324484929,11,2162733,22,917,91,44319394,0,11,0,
116313671,324465334,10,2165469,27,376,50,43980777,0,10,0,
115957308,324483151,10,2172134,49,386,47,41588218,0,10,0,
105284111,324502796,11,2168412,61,920,61,41608752,0,11,0,
105286166,311991229,11,2174142,56,918,52,41610657,0,11,0,
105286950,312006347,11,2173684,51,785,48,44073182,0,11,0,
114455027,321736243,10,2155616,50,833,37,44300746,0,10,0,
116388713,324484136,11,2159953,44,958,16,44328108,0,11,0,
116355375,324487375,10,2173957,17,1096,26,44317004,0,10,0,
116340302,324563336,9,2164788,31,430,43,42894063,0,9,0,
111408156,324346648,10,2179663,48,502,46,41622197,0,10,0,
105285527,320485402,10,2174981,46,980,46,41610395,0,10,0,
105283303,311993152,9,2168318,49,836,45,42252760,0,9,0,
106858897,313712883,10,2158502,42,827,33,44320571,0,10,0,
116387482,324546113,10,2152726,45,952,15,44339273,0,10,0,
116267983,324356542,10,2168854,23,929,20,44302822,0,10,0,
116287368,324471740,10,2175984,22,420,45,44317934,0,10,0,
116275644,324433166,9,2184782,33,534,41,41856067,0,9,0,
107124638,324466849,10,2162825,50,520,47,41617548,0,10,0,
105286589,315865478,11,2179583,52,968,52,41608576,0,11,0,
105285896,312001395,9,2168537,44,1079,42,43308612,0,9,0,
111257216,318435994,11,2154122,46,924,35,44314704,0,11,0,
116274069,324348552,11,2155815,43,558,17,44299206,0,11,0,
116338185,324464591,9,2173451,20,900,25,44321775,0,9,0,
118178410,324660496,6,2227252,44,3576,58,43942568,0,6,0,
112947083,324538335,0,2163960,36,618,34,41614801,0,0,0,
105283577,322047076,0,2162433,35,1034,33,41621498,0,0,0,
105283760,312040786,0,2168741,42,1006,40,41873572,0,0,0,
105288220,312049681,0,2152085,34,835,32,44293491,0,0,0,
116250704,324496471,1,2157431,38,846,10,44314811,0,1,0,
116186898,324319515,0,2164617,24,882,10,44287402,0,0,0,
116252104,324400042,0,2169275,14,830,25,44303252,0,0,0,
116225454,324405120,0,2173002,27,351,35,42336835,0,0,0,
109198357,324405754,0,2176196,33,386,31,41620737,0,0,0,
105285988,318192113,0,2172908,37,740,35,41620054,0,0,0,
105284130,312018055,0,2161662,35,911,33,42732006,0,0,0,
108820452,315721705,1,2146053,38,894,27,44305178,0,1,0,
116306294,324418995,0,2157186,30,961,10,44308461,0,0,0,
116278169,324537465,0,2170446,20,1017,26,44326069,0,0,0,
116523066,324838286,0,2182106,21,335,137,44265854,0,0,0,
116395760,324572056,0,2165495,36,444,34,41555435,0,0,0,
105285356,324406314,0,2164271,33,693,31,41618131,0,0,0,
105285514,313390372,1,2179189,45,799,43,41616765,0,1,0,
105284544,312080769,0,2163175,34,847,32,43801719,0,0,0,
113202259,320501419,1,2145520,37,966,25,44296012,0,1,0,
116269418,324507141,0,2158213,26,865,10,44317830,0,0,0,
116252454,324399314,2,2168609,14,855,21,44303213,0,2,0,
116226293,324453962,0,2163935,24,454,33,43248410,0,0,0,
113030445,324506090,1,2170584,42,466,40,41614831,0,1,0,
105286193,322212096,0,2170746,37,871,35,41619741,0,0,0,
105280011,312086451,0,2170210,33,955,31,41822875,0,0,0,
105292615,312089087,0,2155559,33,813,31,44302631,0,0,0,
116260820,324490263,0,2153992,34,730,10,44316510,0,0,0,
116239532,324413295,0,2160150,23,825,10,44302762,0,0,0,
116242099,324413180,0,2185011,14,580,24,44304034,0,0,0,
116242711,324493120,0,2168714,24,347,31,42378014,0,0,0,
109347296,324407690,1,2178595,44,470,42,41624458,0,1,0,
105278084,318225195,2,2161411,742,1217,741,41620874,0,2,0,
105283539,312073269,1,2168482,45,991,43,42732978,0,1,0,
108723202,315766614,0,2145469,38,820,27,44303648,0,0,0,
116246773,324422720,1,2154247,39,807,19,44303016,0,1,0,
116217768,324308421,1,2175535,14,976,19,44287504,0,1,0,
116237873,324418891,2,2169268,16,486,51,44303012,0,2,0,
116242041,324416067,0,2186084,36,364,34,41620458,0,0,0,
105596895,324504735,1,2166901,41,351,39,41623079,0,1,0,
105284722,314204986,1,2168928,40,834,38,41625074,0,1,0,
105286504,311609024,0,2174338,37,819,35,43572873,0,0,0,
112584089,319951782,0,2161135,35,867,23,44318056,0,0,0,
116178234,324268956,0,2160820,32,988,10,44277224,0,0,0,
116438799,324803955,1,2165940,18,951,25,44341743,0,1,0,
116294719,324515184,1,2189195,23,381,41,43381193,0,1,0,
113494368,324398249,1,2166827,39,458,37,41555928,0,1,0,
105286013,322606822,1,2158499,45,828,43,41606781,0,1,0,
105281184,312085722,1,2177724,46,924,44,41752466,0,1,0,
105257681,311956400,2,2157274,49,912,47,44303027,0,2,0,
116129183,324312183,1,2154839,41,877,10,44259027,0,1,0,
116293760,324435448,1,2169640,28,1091,10,44307454,0,1,0,
117884230,324435891,2,2194921,17,3817,26,44313473,0,2,0,
116222481,324400217,1,2164219,25,417,38,42052977,0,1,0,
108041867,324389104,2,2170194,51,396,49,41625984,0,2,0,
105288783,316952850,1,2164331,44,808,42,41623043,0,1,0,
105287317,312051247,1,2158933,45,859,43,43015353,0,1,0,
109918835,317043988,2,2164496,50,980,38,44302514,0,2,0,
116339648,324481921,0,2161653,29,781,10,44315260,0,0,0,
116259391,324428046,2,2177398,14,938,20,44310725,0,2,0,
116311391,324434498,1,2176447,22,441,44,43996973,0,1,0,
116120228,324412026,0,2176682,37,441,35,41617154,0,0,0,
105284006,324418767,2,2170242,52,930,50,41616877,0,2,0,
105284711,312137130,0,2172659,34,949,32,41625288,0,0,0,
105289396,312063577,1,2171350,41,922,39,43930637,0,1,0,
113925831,321219339,1,2161621,42,693,29,44336013,0,1,0,
116388179,324425316,1,2150290,42,1328,19,44358252,0,1,0,
116285301,324444274,1,2176210,14,1060,22,44312160,0,1,0,
116289233,324511352,1,2183308,25,454,40,43032552,0,1,0,
112057690,324308537,2,2170832,49,447,47,41620373,0,2,0,
105282555,321203760,1,2169028,43,878,41,41621320,0,1,0,
105287443,312050726,0,2181477,34,876,32,42035321,0,0,0,
105841358,312605573,1,2153628,42,801,33,44306301,0,1,0,
116425758,324818852,0,2156720,35,944,10,44310648,0,0,0,
116245973,324493827,1,2162233,14,792,12,44314532,0,1,0,
116250890,324398996,1,2166368,14,719,24,44301038,0,1,0,
116274142,324419854,1,2164150,25,339,37,42089932,0,1,0,
108130851,324514655,0,2170385,34,614,32,41617838,0,0,0,
105285749,317007039,0,2164467,35,835,33,41591968,0,0,0,
105284481,312076546,2,2171538,51,784,49,43038322,0,2,0,
109998975,317016915,0,2156418,36,879,25,44301873,0,0,0,
116247656,324434711,0,2155286,28,881,10,44308411,0,0,0,
116254795,324406025,0,2170074,14,798,21,44304021,0,0,0,
116256304,324390498,1,2189126,22,359,43,43995234,0,1,0,
116146871,324434040,1,2165966,40,572,38,41612687,0,1,0,
105288395,324592491,2,2168451,50,934,48,41619859,0,2,0,
105297369,324487152,0,2165133,33,952,31,41617259,0,0,0,
105283370,313781195,0,2157353,34,937,32,41618528,0,0,0,
105285019,312073291,0,2171819,35,828,33,43675409,0,0,0,
112650643,319969814,0,2155364,34,905,21,44296621,0,0,0,
116264593,324429666,0,2154219,26,693,10,44308787,0,0,0,
116225552,324425495,1,2167638,14,835,21,44299918,0,1,0,
116216726,324378778,0,2176232,23,330,33,43387974,0,0,0,
113621735,324425422,0,2159926,35,484,33,41614983,0,0,0,
105284970,322872270,0,2187489,34,910,32,41617264,0,0,0,
105288518,312058507,0,2173573,34,848,32,41689259,0,0,0,
