PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
51413,686,16657,1,12,365,0,
53656,686,22093,1,11,314,0,
51516,686,16621,1,12,357,0,
49057,686,15685,1,11,273,0,
59575,686,16633,1,12,377,0,
48949,686,15697,1,11,278,0,
51482,686,16645,1,12,371,0,
49289,686,15969,1,11,292,0,
51533,686,16660,1,12,368,0,
48992,686,15721,1,11,272,0,
51507,686,16621,1,12,363,0,
48906,686,15685,1,11,275,0,
51253,686,16633,1,12,360,0,
48897,686,15697,1,11,277,0,
51440,686,16645,1,12,371,0,
48997,686,15709,1,11,278,0,
55457,686,23029,1,12,395,0,
49004,686,15721,1,11,273,0,
51626,686,16621,1,12,366,0,
49078,686,15685,1,11,276,0,
51878,686,16711,1,12,370,0,
51641,686,16645,1,12,365,0,
49815,686,15712,1,11,273,0,
51488,686,16657,1,12,361,0,
49067,686,15721,1,11,274,0,
51220,686,16621,1,11,365,0,
49041,686,15685,1,11,279,0,
52382,686,16633,1,12,360,0,
49346,686,15957,1,11,294,0,
51447,686,16645,1,12,361,0,
48900,686,15709,1,11,278,0,
55643,686,23029,1,12,396,0,
49006,686,15721,1,11,274,0,
51619,686,16621,1,12,364,0,
49637,686,15685,1,11,275,0,
51460,686,16633,1,12,357,0,
49062,686,15697,1,11,274,0,
54374,686,17650,1,13,445,0,
49037,686,15709,1,11,277,0,
51943,686,16853,1,12,378,0,
48977,686,15721,1,11,279,0,
51574,686,16621,1,12,367,0,
49096,686,15685,1,11,281,0,
51348,686,16633,1,12,370,0,
48944,686,15697,1,11,279,0,
52005,686,16645,1,12,375,0,
52846,686,22081,1,11,307,0,
51295,686,16657,1,12,362,0,
49058,686,15721,1,11,278,0,
52581,686,16881,1,12,378,0,
49050,686,15685,1,11,283,0,
51315,686,16636,1,12,372,0,
48980,686,15697,1,11,276,0,
52201,686,16645,1,12,368,0,
49561,686,15709,1,11,273,0,
51562,686,16657,1,12,360,0,
48981,686,15721,1,11,277,0,
59900,310,20708,1,12,540,1,
51903,310,16563,1,12,402,1,
49276,310,15619,1,11,310,0,
51818,310,16570,1,12,390,2,
53550,310,22019,1,11,332,0,
51650,310,16579,1,12,389,1,
49166,310,15643,1,11,305,0,
51569,310,16543,1,12,395,0,
49182,310,15610,1,11,306,0,
51604,310,16555,1,12,393,1,
49014,310,15619,1,11,300,0,
52514,310,16567,1,12,395,2,
49073,310,15631,1,11,297,0,
52510,310,16839,1,12,414,1,
49052,310,15643,1,11,306,0,
51555,310,16551,1,12,395,1,
49268,310,15607,1,11,299,0,
51340,310,16555,1,12,396,0,
49212,310,15622,1,11,302,0,
55383,310,22936,1,12,426,1,
49153,310,15631,1,11,306,0,
51698,310,16579,1,12,384,1,
49095,310,15643,1,11,307,0,
51397,310,16546,1,12,402,0,
49153,310,15607,1,11,302,0,
51858,310,16555,1,12,393,1,
49666,310,15619,1,11,304,0,
51602,310,16567,1,12,398,1,
49250,310,15631,1,11,307,0,
51825,310,16657,1,12,401,2,
49120,310,15643,1,11,301,0,
51917,310,16543,1,12,399,1,
49157,310,15610,1,11,306,0,
51572,310,16555,1,12,399,1,
53094,310,22248,1,11,354,0,
51398,310,16567,1,12,395,0,
51624,310,16579,1,12,394,1,
49137,310,15646,1,11,300,0,
51588,310,16543,1,12,398,1,
49116,310,15607,1,11,304,0,
51698,310,16555,1,12,384,1,
49136,310,15619,1,11,304,0,
52205,310,16567,1,12,392,0,
49227,310,15631,1,11,304,0,
51524,310,16579,1,12,402,0,
49198,310,15643,1,11,300,0,
51553,310,16543,1,12,402,1,
49049,310,15610,1,11,308,0,
51788,310,16555,1,12,404,2,
52910,310,21988,1,11,332,0,
51652,310,16567,1,12,401,1,
49202,310,15631,1,11,302,0,
52381,310,16579,1,12,410,1,
49126,310,15643,1,11,306,0,
59868,310,22631,1,13,540,16,
49112,310,15607,1,11,308,0,
51645,310,16555,1,13,403,1,
57202,310,19968,1,12,320,0,
51878,310,16567,1,13,398,2,
49273,310,15631,1,11,304,0,
51563,310,16582,1,12,393,1,
49133,310,15643,1,11,302,0,
51848,310,16543,1,12,387,1,
