PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_LL_MISS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
46313476,109554946,10,40,29,10,0,
46247080,109561894,7,37,38,7,0,
46191724,109543667,2,18,23,2,0,
46231662,109558184,2,48,133,2,0,
46277357,109600822,8,38,31,8,0,
46149704,109526398,11,44,34,11,0,
46233890,109547418,4,27,40,4,0,
46251063,109568786,8,39,39,8,0,
46258743,109602949,7,37,26,7,0,
46256561,109566918,8,34,35,8,0,
46249881,109559704,10,45,96,10,0,
46261136,109571067,8,44,40,8,0,
46233797,109560048,7,39,23,7,0,
46225570,109522845,7,36,50,7,0,
46256770,109565286,7,38,66,7,0,
46254094,109567898,9,39,44,9,0,
46267897,109559517,8,39,27,8,0,
46250105,109516419,8,37,30,8,0,
46254525,109564075,8,42,33,8,0,
46182949,109458502,6,28,39,6,0,
46239606,109558256,6,35,26,6,0,
46265182,109562924,10,38,38,10,0,
46261616,109570872,9,41,47,9,0,
46272238,109605349,9,39,31,9,0,
46302114,109604490,8,101,122,8,0,
46236389,109553092,4,29,35,4,0,
46249087,109562889,8,38,26,8,0,
46271680,109562634,9,43,28,9,0,
46256875,109565832,8,39,33,8,0,
46248364,109561098,8,41,29,8,0,
46213427,109555272,4,27,17,4,0,
46260465,109569568,10,41,50,10,0,
46287565,109566790,10,42,40,10,0,
46218957,109552552,4,29,32,4,0,
46244827,109555736,8,40,26,8,0,
46248665,109524580,8,36,50,8,0,
46238132,109557808,6,33,26,6,0,
46156916,109599073,10,43,23,10,0,
46259028,109569803,8,40,23,8,0,
46299729,109557486,8,38,37,8,0,
46256597,109568924,8,39,52,8,0,
46280148,109605411,8,40,60,8,0,
46255683,109563953,6,32,56,6,0,
46250532,109563522,8,38,47,8,0,
46283619,109564244,8,41,37,8,0,
46277403,109564318,9,42,38,9,0,
46259209,109559817,8,38,36,8,0,
46227565,109559561,6,32,28,6,0,
46208837,109548795,4,28,38,4,0,
46296297,109576135,9,47,64,9,0,
46256772,109560935,10,46,46,10,0,
46294629,109565117,3,32,62,3,0,
46241282,109558006,7,42,33,7,0,
46256560,109562912,8,39,26,8,0,
46252235,109562851,9,39,35,9,0,
46246711,109566168,7,39,28,7,0,
46193287,109537803,0,15,25,0,0,
46237007,109557718,6,37,19,6,0,
46262303,109566492,9,38,75,9,0,
65830962,133801260,9,2960,50146,9,0,
46256106,109561691,10,42,51,10,0,
46261304,109606626,8,38,33,8,0,
46245754,109561315,10,41,46,10,0,
46250504,109559904,7,37,32,7,0,
46252865,109604180,8,35,35,8,0,
46263343,109604399,10,39,25,10,0,
46282697,109607559,8,39,36,8,0,
46261368,109524904,7,45,70,7,0,
46245293,109563825,8,41,18,8,0,
46198137,109546239,1,18,35,1,0,
46251795,109565253,8,40,47,8,0,
46253657,109566710,9,39,31,9,0,
46330649,109560783,8,39,37,8,0,
46252523,109561382,7,36,39,7,0,
46270067,109565025,8,40,39,8,0,
46203982,109544710,2,19,32,2,0,
46267414,109604072,6,36,39,6,0,
46253001,109562621,9,46,40,9,0,
46241647,109561531,7,38,19,7,0,
46251322,109562129,8,41,50,8,0,
46234952,109555571,6,36,38,6,0,
46265602,109560036,9,43,38,9,0,
46258657,109556187,8,39,23,8,0,
46261273,109565437,9,41,24,9,0,
46272898,109592704,5,30,40,5,0,
46241885,109559501,6,30,61,6,0,
46250473,109563296,7,35,29,7,0,
46245176,109554366,4,29,47,4,0,
46240232,109563290,8,35,39,8,0,
46254341,109563649,8,36,37,8,0,
46277229,109613766,7,39,35,7,0,
46250275,109554607,7,36,33,7,0,
46260361,109609666,10,43,32,10,0,
46214280,109547996,4,26,25,4,0,
46261570,109571923,9,39,43,9,0,
46222452,109548629,4,27,30,4,0,
46288723,109612958,7,45,44,7,0,
46270444,109608363,7,34,36,7,0,
46265350,109560970,8,40,40,8,0,
46257132,109567920,10,45,40,10,0,
46245661,109562257,7,36,28,7,0,
46236289,109567706,8,37,28,8,0,
46221804,109553153,6,34,33,6,0,
46295713,109585390,8,39,63,8,0,
46226910,109512941,8,41,35,8,0,
46276743,109568381,9,42,30,9,0,
46254820,109559325,10,40,25,10,0,
46282823,109570915,8,40,36,8,0,
46176128,109506213,8,36,25,8,0,
46256904,109566734,8,39,40,8,0,
46237453,109512399,8,40,32,8,0,
46320314,109565625,7,39,21,7,0,
46266102,109566874,10,46,58,10,0,
46246662,109554343,7,37,27,7,0,
46247396,109561792,8,40,50,8,0,
46264619,109604782,9,39,29,9,0,
46260984,109565819,10,43,21,10,0,
46258738,109564495,8,39,39,8,0,
46277402,109608980,6,38,56,6,0,
46222326,109548812,4,26,23,4,0,
46272192,109570732,8,39,43,8,0,
46301275,109577520,8,68,176,8,0,
46258148,109567955,8,42,36,8,0,
46254129,109562927,10,45,33,10,0,
46276203,109561816,6,43,73,6,0,
46273253,109605925,8,43,32,8,0,
46247817,109560895,10,42,37,10,0,
46254591,109562647,8,41,29,8,0,
46259067,109560737,7,40,36,7,0,
46260941,109567448,7,43,45,7,0,
46258896,109603448,8,34,34,8,0,
46264045,109563251,8,41,45,8,0,
46240729,109564263,8,39,27,8,0,
46250080,109565136,8,39,33,8,0,
46289021,109567521,9,40,48,9,0,
46230338,109554763,7,36,18,7,0,
46305314,109617650,9,43,44,9,0,
46241007,109555631,10,42,26,10,0,
46273458,109572440,10,42,58,10,0,
46225220,109555464,7,37,19,7,0,
46286984,109612120,9,39,45,9,0,
46242616,109554222,6,32,55,6,0,
46316087,109562247,8,37,62,8,0,
46253283,109496062,2,20,68,2,0,
46295349,109569245,10,44,77,10,0,
46266977,109569910,11,41,23,11,0,
46235972,109557826,7,34,28,7,0,
46229763,109529705,10,41,59,10,0,
46242175,109558171,8,38,21,8,0,
46278242,109568033,8,41,40,8,0,
46252073,109598255,7,37,30,7,0,
46261593,109566771,7,39,40,7,0,
46237686,109554936,6,33,26,6,0,
46286394,109573649,9,43,70,9,0,
46263685,109600292,10,40,37,10,0,
46234114,109518261,8,41,37,8,0,
46280746,109573804,9,45,51,9,0,
46219161,109553322,6,32,31,6,0,
46248588,109558901,10,39,35,10,0,
46272394,109605451,9,40,24,9,0,
46259670,109565967,9,38,24,9,0,
46217624,109548749,4,28,34,4,0,
46225551,109554157,4,27,28,4,0,
46236518,109553778,8,36,46,8,0,
46258516,109569493,8,37,26,8,0,
46273834,109566601,10,43,40,10,0,
46263758,109568240,7,37,29,7,0,
46240439,109558355,10,42,24,10,0,
46270616,109559513,7,36,37,7,0,
46270484,109568123,9,40,34,9,0,
46261751,109563124,8,38,32,8,0,
46239848,109555696,6,32,40,6,0,
46256580,109600450,8,37,34,8,0,
46273751,109564455,7,40,39,7,0,
46296511,109557771,7,38,65,7,0,
46253240,109559875,10,46,32,10,0,
46241336,109598021,4,34,37,4,0,
46259745,109561239,7,45,42,7,0,
46277564,109564913,9,52,43,9,0,
46261112,109566783,6,44,48,6,0,
46245596,109559534,9,47,26,9,0,
46246443,109568430,8,45,36,8,0,
46247415,109560159,8,43,22,8,0,
46275141,109569867,8,43,48,8,0,
46237051,109553827,7,41,34,7,0,
46260057,109564971,7,35,39,7,0,
46249633,109557588,8,36,27,8,0,
46270039,109571698,9,37,48,9,0,
46232799,109554573,7,37,21,7,0,
46261931,109570707,8,40,29,8,0,
46245310,109557108,6,33,34,6,0,
46218558,109547412,6,28,21,6,0,
46277340,109563565,8,42,38,8,0,
46250106,109558421,9,42,35,9,0,
46255313,109563643,8,38,37,8,0,
46216100,109549991,4,25,19,4,0,
46282471,109607288,6,38,41,6,0,
46259685,109559765,9,39,35,9,0,
46265428,109552132,1,18,63,1,0,
46226138,109549415,3,24,34,3,0,
46283452,109606848,10,42,32,10,0,
