PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
146719411,344334780,85990,9,35,2616988,92,
158487728,375539402,96515,10,29,2375421,64,
149170478,344395644,95326,10,99,2596348,121,
158437665,375455600,101567,9,23,2383579,73,
151421173,344403971,107564,10,36,2610833,74,
179168324,354308337,25503093,10,3578,2974977,109839,
158489417,375511760,82567,10,43,2565844,118,
145306562,348487138,98540,9,32,2593022,41,
158455071,375503483,82641,10,107,2498382,51,
145358409,344339696,105483,9,31,2606099,58,
158503321,375558310,98811,10,31,2401621,93,
147707599,344315108,93120,9,33,2587626,74,
158492367,375490595,112264,10,30,2380612,69,
150252729,344425657,92240,10,37,2593601,83,
158374828,375581456,107927,9,29,2387357,54,
158466641,361772539,83635,10,30,2617744,67,
156006094,375450155,101593,9,30,2427520,86,
158515564,367397223,97933,10,29,2613082,73,
153473506,375535628,95642,10,38,2457710,70,
158447066,373469026,104507,10,29,2611605,69,
151104620,375511925,95244,9,34,2511145,73,
158425060,347694382,88501,10,30,2586409,39,
148791290,375670270,99959,9,96,2540739,56,
158536794,353487121,84910,10,30,2587745,95,
146283044,375648518,96162,10,33,2563292,73,
171504433,359221485,100219,9,2867,2708041,71584,
145349338,371961103,99866,10,35,2616836,64,
158514751,375604010,81136,10,35,2453349,74,
145364649,366070673,90661,9,33,2597622,41,
158468734,375478576,77753,10,29,2405584,70,
145275736,360269793,96279,9,33,2584586,48,
158628832,375657034,74597,10,33,2598379,83,
145345036,354342971,113769,10,34,2618449,78,
158487518,375460521,76471,9,32,2537398,78,
145381239,348573239,109081,10,94,2613138,77,
158528150,375538429,85454,10,36,2520293,83,
145338475,373860005,111026,10,30,2606609,62,
158487388,375755925,84079,9,30,2481456,54,
145377460,367748928,109426,10,38,2615447,84,
158476312,375543721,79110,9,33,2412114,68,
