PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
789040999,1106073125,16466,1395167,12521,136675,12528,165526741,0,16466,0,
796456784,1115640200,16467,1807525,15129,1037416,15278,171293936,0,16467,0,
794271623,1109043100,16490,1364465,12380,135090,12525,166562596,0,16490,0,
796530940,1111467460,16521,1377557,12371,134587,12546,167029225,0,16521,0,
996589953,1390980955,20725,2053407,17879,900471,17851,211200846,0,20725,0,
790428335,1104114070,16433,1363672,12384,133301,12493,165622139,0,16433,0,
792037283,1106529007,16456,1381957,12342,134478,12491,166055119,0,16456,0,
813474001,1149193955,16470,1998654,14062,367564,12369,171274104,0,16470,0,
789229586,1103433573,16429,1348288,12543,132575,12425,165536366,0,16429,0,
789086935,1110347772,16508,1383399,12572,137171,12578,165462837,0,16508,0,
788917018,1107392208,16451,1369121,13853,211366,13849,165938053,0,16451,0,
789264441,1102912505,16493,1376458,12568,137719,12582,165505283,0,16493,0,
811875052,1133079319,16442,1600467,14254,667372,15322,174544162,0,16442,0,
793475408,1108043630,16475,1382567,12479,135392,12404,166343626,0,16475,0,
791675815,1105758336,16455,1358469,12505,134624,12382,165936024,0,16455,0,
808940375,1149024562,16463,1686545,12827,553635,14503,171402051,0,16463,0,
789203127,1109260652,16501,1363560,12534,139389,12546,165472163,0,16501,0,
1334506972,1867416585,28580,2931940,22924,865222,23212,282916412,0,28580,0,
793312628,1107294495,16472,1350570,12405,133745,12549,166240276,0,16472,0,
791943579,1106996689,16476,1356825,12508,130465,12428,166152226,0,16476,0,
801307874,1125817801,16474,1658332,12651,137025,13708,170091250,0,16474,0,
792742933,1107866300,16481,1368839,12513,136995,12406,165623711,0,16481,0,
1407230136,1966710756,30003,3050519,23786,606137,24720,297459884,0,30003,0,
783905768,1097808665,16439,1356851,12505,133165,12395,164524366,0,16439,0,
811458094,1154494065,16529,1979512,14860,869862,13111,167522168,0,16529,0,
789249577,1105885948,16462,1370971,12539,137502,12531,165633177,0,16462,0,
789257751,1105887602,16457,1362640,12509,133526,12514,165612024,0,16457,0,
605821583,851983607,14721,1389220,11306,501262,12815,136737501,0,14721,0,
760971201,1061258407,16116,1364804,12328,129836,11986,157336517,0,16116,0,
789250341,1104777096,16452,1362403,12493,139168,12468,165631144,0,16452,0,
916539631,1292772643,19147,2065667,16035,652401,16373,194791773,0,19147,0,
1561945111,2184854302,33722,3329449,26624,635547,27765,329243305,0,33722,0,
793693246,1107814494,16480,1352361,12460,134545,12775,166340149,0,16480,0,
796494335,1110724470,16501,1365302,12408,133712,12598,166876700,0,16501,0,
1864571763,2608472857,40406,3792793,34711,623376,31529,393642936,0,40406,0,
769964397,1081796501,16349,1348323,12928,134551,13333,162948577,0,16349,0,
813185195,1137890808,16472,1402596,14526,765325,13806,173095908,0,16472,0,
789255040,1107208737,16474,1354612,12534,137903,12535,165581066,0,16474,0,
789253764,1130961809,16476,1967990,16006,757518,14124,166390544,0,16476,0,
789201894,1103315529,16462,1369235,13548,132471,13286,165930654,0,16462,0,
789269575,1103398063,16469,1373395,13173,128847,12743,166288154,0,16469,0,
789256710,1103513103,16513,1357800,14018,285368,13982,169194924,0,16513,0,
792119323,1106780985,16459,1359493,12867,132809,13091,166098237,0,16459,0,
790584297,1104045490,16437,1373759,12419,137094,12551,165646616,0,16437,0,
832060526,1155800404,16493,1638517,14991,665072,16028,173978289,0,16493,0,
613666516,857454254,15005,1199580,11433,110083,11562,132867031,0,15005,0,
794411917,1108555495,16484,1348552,12591,130560,12411,166507023,0,16484,0,
801309686,1146524444,16468,1691734,12896,530550,14665,169918738,0,16468,0,
789198922,1102813431,16504,1368955,12572,136761,12603,165499632,0,16504,0,
539209631,741350246,14216,1040808,10724,103124,11003,118313953,0,14216,0,
811038670,1138949931,16442,1980740,13926,761062,13862,170053542,0,16442,0,
791653130,1105424782,16455,1372909,12478,134836,12334,165917589,0,16455,0,
801223352,1149240639,16500,1976389,13296,139363,13378,170388678,0,16500,0,
1126788651,1563228766,23973,1933227,18019,195914,18388,238944276,0,23973,0,
765815323,1069299887,16172,1338907,12398,129611,12102,158240363,0,16172,0,
687660709,962557474,15685,1614259,13619,534338,13789,148298796,0,15685,0,
792502361,1107561387,16480,1359009,12394,137909,12511,166242398,0,16480,0,
791161302,1106336722,16464,1366320,12389,137952,12477,166010957,0,16464,0,
828056365,1148023170,16462,2007102,15070,833299,13024,171008785,0,16462,0,
683738700,953250112,15536,1257988,11833,124630,11770,144602238,0,15536,0,
789192933,1110282431,16508,1378214,12542,140299,12559,165727706,0,16508,0,
1525765210,2154394161,33386,3263105,27604,987903,26162,324189387,0,33386,0,
631070565,864652352,14869,1152890,11107,110764,11217,131612705,0,14869,0,
789245604,1133382639,16459,1638422,12866,515938,14112,170551912,0,16459,0,
789203831,1103112381,16423,1365052,12416,139655,12428,165493831,0,16423,0,
801301585,1128064559,16508,1957166,13808,760941,14038,170749712,0,16508,0,
795530255,1110245242,16506,1357038,12415,135631,12605,166777741,0,16506,0,
796526085,1110490449,16506,1378953,12434,134606,12624,166892480,0,16506,0,
1983194005,2774941369,43247,3600272,33014,736996,33573,419981000,0,43247,0,
789262186,1116261459,16475,1492580,13984,266726,13973,165576128,0,16475,0,
789039160,1092337457,16402,1360333,12462,136944,12470,165482151,0,16402,0,
789263930,1102971100,16421,1359938,12512,136915,12467,165580952,0,16421,0,
798784011,1118371516,16499,1757505,15124,1038194,15333,171555215,0,16499,0,
792041403,1106281385,16466,1344931,12397,134962,12552,166069239,0,16466,0,
