PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ
348772819,1430119084,6,23171,374,336,439,472298179,0,6,0
348774400,1429577199,4,11305,380,243,427,472045930,0,4,0
338791714,1399426794,4,22938,392,367,438,484503991,0,4,0
338808013,1393562858,6,12368,415,312,465,480355293,0,6,0
332963203,1380425666,4,22222,393,338,474,483704357,0,4,0
327637797,1378522051,6,12625,370,406,361,477630956,0,6,0
335614509,1392391277,4,22503,328,435,382,477502509,0,4,0
339431121,1405196119,4,12599,351,355,472,476281467,0,4,0
345380313,1421826365,6,22021,320,276,457,476266312,0,6,0
338816845,1402589678,4,11433,311,348,452,474350039,0,4,0
338809914,1406255787,6,23635,396,279,514,473488496,0,6,0
348718448,1436593033,4,12136,381,429,440,474710721,0,4,0
338807745,1388711391,4,22856,382,295,443,484322728,0,4,0
338809349,1396899556,6,11880,396,361,464,479497106,0,6,0
333534245,1383691792,4,23036,385,479,416,482847682,0,4,0
331472845,1384916371,6,12825,353,300,374,480142884,0,6,0
331167668,1387238430,4,10783,306,276,388,474148895,0,4,0
341127697,1416307068,4,22687,312,292,443,473588637,0,4,0
338814690,1408949830,6,10703,313,233,449,474513547,0,6,0
348768643,1436140145,4,22676,379,303,453,474470294,0,4,0
338782031,1393933830,6,12653,381,291,465,484264146,0,6,0
332183879,1379278078,4,21566,376,284,415,483981279,0,4,0
327632244,1378562825,4,12415,367,422,361,476942731,0,4,0
336394450,1400756706,6,22532,327,414,446,474701073,0,6,0
345396831,1427431176,4,12260,322,335,445,473944053,0,4,0
338818497,1409919761,6,22575,325,248,455,474696268,0,6,0
348774731,1435798969,4,11479,385,397,445,474265758,0,4,0
338754650,1387384861,6,24557,414,245,474,483145276,0,6,0
331985929,1380684930,4,11240,388,330,414,483578707,0,4,0
328222110,1379757106,4,22736,365,319,355,477239605,0,4,0
335917932,1400381912,6,12838,375,318,440,473951211,0,6,0
346066780,1425375984,4,12102,326,482,445,475601021,0,4,0
338746649,1408310274,6,23345,321,408,468,474306238,0,6,0
348777880,1435549580,4,10680,367,230,443,473921769,0,4,0
358720726,1369127701,4,24210,377,368,473,480471166,0,4,0
346855728,1431137415,6,11290,316,267,442,474129294,0,6,0
338745482,1401390006,4,23529,325,309,429,472044299,0,4,0
348744172,1430552658,6,12657,394,328,458,472452893,0,6,0
348737056,1429235633,4,22076,383,323,441,472026889,0,4,0
338813780,1404130069,4,12080,386,379,447,482222979,0,4,0
338806566,1393738986,6,23620,413,384,475,481769222,0,6,0
338780639,1386540001,4,11770,391,353,455,482029531,0,4,0
333780137,1386843129,6,22725,401,257,428,482173425,0,6,0
333848689,1388925087,4,11256,381,368,356,481637791,0,4,0
332658548,1386743813,4,23139,354,309,358,476646000,0,4,0
334536706,1390887583,6,11658,307,319,383,476818730,0,6,0
339640400,1398698757,4,22049,309,263,445,479692724,0,4,0
339520258,1406061878,6,11790,306,376,440,476032211,0,6,0
345720604,1426699892,4,22572,314,408,426,474351290,0,4,0
338817479,1410082688,6,12525,317,349,438,474760033,0,6,0
348779041,1435946863,4,10670,368,276,431,474438982,0,4,0
338777628,1394674348,4,23310,378,269,436,481742614,0,4,0
337189881,1382199889,6,11992,407,381,423,483182852,0,6,0
328024332,1379316610,4,23251,401,503,388,481850229,0,4,0
330997828,1388524266,6,12470,326,235,369,473422704,0,6,0
342068829,1418764734,4,21623,318,313,426,473531424,0,4,0
338800005,1402436463,4,12261,309,555,433,473020507,0,4,0
338789837,1404036888,6,23328,335,288,455,472793662,0,6,0
348779631,1430359187,4,11624,395,355,459,472316469,0,4,0
338812734,1394973356,6,24298,470,567,592,479102921,0,6,0
348778019,1437018510,4,11498,489,643,583,474334448,0,4,0
338800362,1384328128,4,23305,474,432,550,483354816,0,4,0
334962325,1387396483,6,11896,412,345,444,481806039,0,6,0
333154800,1387640237,4,22669,407,279,383,481944650,0,4,0
330893448,1384479121,6,11944,393,368,391,476205897,0,6,0
335745115,1400272372,4,11754,341,421,418,473989904,0,4,0
345816738,1417263275,4,22604,342,252,470,478997019,0,4,0
346868742,1424395294,6,10631,330,272,476,477007901,0,6,0
338815187,1403282059,4,21945,317,409,468,474055938,0,4,0
338816221,1394329478,6,12058,327,238,483,472959191,0,6,0
338778029,1407898198,4,22348,341,316,454,474041163,0,4,0
348778366,1437096775,4,12073,391,364,460,474557363,0,4,0
338810113,1392337226,6,22286,396,312,467,483334960,0,6,0
334238857,1381798871,4,11962,403,428,437,483354198,0,4,0
333845301,1388630267,6,24057,430,380,383,481715262,0,6,0
