PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
44806,1085,9869,0,2586,179,
34586,1085,9869,0,2586,75,
34642,1085,9869,0,2586,72,
34766,1085,9869,0,2586,72,
34249,1085,9869,0,2586,74,
34564,1085,9869,0,2586,71,
41842,1086,12318,1,3276,243,
34503,1085,9869,0,2586,72,
34555,1085,9869,0,2586,77,
34376,1085,9869,0,2586,69,
34430,1085,9869,0,2586,77,
34774,1085,9869,0,2586,66,
35155,1085,9869,0,2586,71,
34552,1085,9869,0,2586,69,
41470,1086,12313,1,3274,234,
34391,1085,9869,0,2586,79,
34452,1085,9869,0,2586,74,
34435,1085,9869,0,2586,73,
49625,1085,9869,0,2586,85,
34457,1085,9869,0,2586,70,
34454,1085,9869,0,2586,67,
34502,1085,9869,0,2586,79,
41479,1086,12313,1,3274,243,
34519,1097,9869,0,2586,67,
41756,1097,9869,0,2586,150,
34827,1097,9869,0,2586,71,
34708,1097,9869,0,2586,71,
34614,1097,9869,0,2586,75,
34426,1097,9869,0,2586,71,
35060,1097,9869,0,2586,67,
42330,1098,12313,1,3274,233,
34575,1097,9869,0,2586,68,
34544,1097,9869,0,2586,73,
34372,1097,9869,0,2586,70,
34595,1097,9869,0,2586,72,
34528,1097,9869,0,2586,73,
34475,1097,9869,0,2586,69,
34569,1085,9869,0,2586,74,
41568,1086,12313,1,3274,242,
34631,1085,9869,0,2586,70,
34519,1085,9869,0,2586,78,
34496,1085,9869,0,2586,72,
34472,1085,9869,0,2586,78,
34409,1085,9869,0,2586,73,
34463,1085,9869,0,2586,69,
34479,1085,9869,0,2586,66,
41295,1086,12313,1,3274,237,
34671,1085,9869,0,2586,76,
34346,1085,9869,0,2586,74,
34387,1085,9869,0,2586,74,
34587,1085,9869,0,2586,70,
34325,1085,9869,0,2586,68,
34360,1085,9869,0,2586,72,
34343,1085,9869,0,2586,68,
41411,1086,12313,1,3274,236,
34457,1085,9869,0,2586,75,
35178,1085,9869,0,2586,71,
34366,1085,9869,0,2586,72,
34512,1085,9869,0,2586,77,
34578,1085,9869,0,2586,72,
34420,1085,9869,0,2586,72,
34440,1085,9869,0,2586,75,
41444,1086,12313,1,3274,239,
34388,1085,9869,0,2586,68,
34539,1085,9869,0,2586,74,
34371,1085,9869,0,2586,71,
34424,1085,9869,0,2586,73,
34430,1085,9869,0,2586,70,
34344,1085,9869,0,2586,70,
34626,1085,9869,0,2586,74,
41356,1086,12313,1,3274,235,
34551,1085,9869,0,2586,79,
34374,1085,9869,0,2586,74,
34408,1085,9869,0,2586,73,
34333,1085,9869,0,2586,69,
34443,1085,9869,0,2586,74,
34284,1085,9869,0,2586,71,
34616,1085,9869,0,2586,75,
41250,1086,12313,1,3274,237,
34500,1085,9869,0,2586,75,
34469,1085,9869,0,2586,73,
34466,1085,9869,0,2586,70,
34424,1085,9869,0,2586,75,
34293,1085,9869,0,2586,69,
34387,1085,9869,0,2586,74,
34432,1085,9869,0,2586,72,
41188,1086,12313,1,3274,231,
34326,1085,9869,0,2586,69,
34466,1085,9869,0,2586,69,
34421,1085,9869,0,2586,74,
34508,1085,9869,0,2586,73,
34496,1085,9869,0,2586,72,
34299,1085,9869,0,2586,70,
34435,1085,9869,0,2586,69,
45275,1086,18682,1,4994,268,
34546,1085,9869,0,2586,75,
34423,1085,9869,0,2586,75,
34290,1085,9869,0,2586,72,
34728,1097,9869,0,2583,74,
34417,1085,9869,0,2586,68,
34410,1085,9869,0,2586,74,
34410,1085,9869,0,2586,68,
41392,1086,12318,1,3276,242,
34471,1085,9869,0,2586,80,
34402,1085,9869,0,2586,73,
34371,1085,9869,0,2586,73,
34604,1085,9869,0,2586,68,
34438,1085,9869,0,2586,70,
34356,1085,9869,0,2586,69,
34413,1085,9869,0,2586,70,
41601,1086,12313,1,3274,241,
34441,1085,9869,0,2586,71,
34505,1085,9869,0,2586,77,
34512,1085,9869,0,2586,78,
34437,1085,9869,0,2586,71,
34423,1085,9869,0,2586,68,
34486,1085,9869,0,2586,69,
34334,1085,9869,0,2586,69,
41515,1086,12351,1,3278,235,
34356,1085,9869,0,2586,70,
34305,1085,9869,0,2586,77,
34318,1085,9869,0,2586,72,
34410,1085,9869,0,2586,67,
34326,1085,9869,0,2586,69,
34522,1085,9869,0,2586,69,
34290,1085,9869,0,2586,67,
41443,1086,12351,1,3278,245,
34489,1085,9869,0,2586,68,
34383,1085,9869,0,2586,67,
34391,1085,9869,0,2586,73,
34448,1085,9869,0,2586,74,
34409,1085,9869,0,2586,69,
34413,1085,9869,0,2586,69,
34401,1085,9869,0,2586,71,
41878,1086,12351,1,3278,243,
34277,1085,9869,0,2586,65,
34338,1085,9869,0,2586,74,
34361,1085,9869,0,2586,73,
34319,1085,9869,0,2586,68,
34282,1085,9869,0,2586,63,
34435,1085,9869,0,2586,67,
34384,1085,9869,0,2586,61,
41485,1086,12351,1,3278,246,
34323,1085,9869,0,2586,65,
34691,1085,9869,0,2586,67,
34527,1085,9869,0,2586,72,
