PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
19672034,8857,35128,0,4,0,1162,92,71,
924537,24055064,21756,0,19,4567214,1555,0,0,
18446744073709551443,82,16481,0,21,4568157,5718,7,0,
8626051,117,6868,0,2,1813042,2315,21,6,
19516873,8770,35046,0,6,0,0,32,6,
18446744073677075807,11263314,48320,0,42,1991491,0,0,4,
631993,77,18450,0,21,4567978,5650,1,0,
11928422,101,4017,0,11,4565515,3445,57,0,
16680264,4657,4358,0,4,0,1225,27,5,
1072181,8552,67886,0,68,1862840,0,0,15,
18446744073669663359,83,18394,0,21,4567966,5685,4,0,
14012542,122,6921,0,2,3237616,2304,29,1,
19644971,9104,34890,0,4,0,1151,31,14,
18446744073670302829,87,27882,0,22,4569758,3979,0,7,
18446744073709169142,88,16397,0,17,4570723,7128,67,0,
19990699,9169,6902,0,2,1419102,18970,64,2,
1072762,4571,44120,0,44,1992209,0,0,7,
634286,83,18475,0,21,4567976,5663,1,0,
11839368,104,4015,0,11,4565440,3457,17,0,
19966147,9506,34894,0,4,0,2458,27,16,
595377,100,26934,0,21,4576911,3976,0,11,
635,84,16381,0,21,4568503,5725,52,0,
8235599,104,3949,0,11,4565445,3434,17,0,
19376057,8848,4428,0,4,0,16381,16,0,
628620,8442,71541,0,44,1959,0,13,12,
633919,77,23265,0,21,4568294,4059,0,2,
14085811,104,3907,0,11,4565437,3436,16,0,
19773940,9179,10361,0,2,1816,17518,18,1,
18446744073671138929,97,28076,0,21,459958,1239,27,13,
633202,77,20807,0,21,4568462,4098,0,17,
9325753,82,13832,0,20,4568842,5683,0,0,
16967858,12089120,6853,0,2,2134896,18896,13,0,
18446744073678679932,8781,42202,0,7,890,17097,24,14,
857836,87,20243,0,21,2967021,0,8,5,
14091249,101,4004,0,18,4565475,2033,0,5,
19854772,9010,3992,0,11,2700998,35595,30,0,
18446744073667513999,104,19084,0,16,2902,3632,44,8,
858539,87,18272,0,20,3808926,0,6,1,
17075613,4496,3973,0,48,4573562,0,0,2,
17186313,23561925,6465,0,3,4158552,18888,1,0,
397145,132,14883,0,13,903,4403,64,6,
859390,87,17922,0,20,3562868,0,13,6,
16876019,4438,3920,0,44,4573433,0,0,2,
16049458,8727386,37327,0,2,1540795,35593,13,0,
627212,87,15690,0,16,1757,3540,9,2,
18446744073672411321,82,18431,0,20,4576135,0,0,3,
