PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
3300535,6459795,11405,0,9,232,0,
35796,6478919,11327,0,9,220,0,
1019631,4505844,15552,0,10,398,5,
3286479,310,11327,0,9,263,0,
3287350,6478919,8156,0,9,253,0,
3297413,6478920,12243,0,5,433,6,
3286274,6478919,11405,0,4,224,0,
3286022,6478919,11405,0,9,8,0,
3297072,6478920,15630,0,10,125,8,
3286926,6478919,11405,0,9,220,0,
35572,6478919,11327,0,9,226,0,
940983,4689063,16233,0,13,479,1,
3287288,310,11327,0,9,271,0,
3289147,6478919,8156,0,9,244,0,
3276754,6459795,8156,0,9,253,0,
3286805,6478919,11405,0,4,237,0,
3303671,6478920,16320,0,9,327,1,
3287442,6478919,11405,0,9,7,0,
3293713,6459796,16312,0,10,164,3,
3287923,6478919,11405,0,9,218,0,
1073249,6478920,16250,0,10,457,0,
35835,6478919,11327,0,9,241,0,
2397559,1783177,16260,0,10,477,4,
3287820,310,11327,0,9,252,0,
3319124,4360590,12674,0,10,549,12,
3287373,6478919,8156,0,9,249,0,
3301543,6478920,11855,0,5,469,3,
3285310,6478919,11405,0,4,238,0,
3301397,6478920,16328,0,9,313,1,
3286832,6478919,11405,0,9,6,0,
3301938,6478920,16335,0,11,147,2,
3286721,6478919,11405,0,9,221,0,
2422264,6478920,16227,0,10,441,0,
35920,6478919,11327,0,9,236,0,
565197,5433178,16219,0,10,483,0,
3286381,310,11327,0,9,250,0,
3298052,488082,12398,0,10,470,0,
3277501,6459795,8156,0,9,256,0,
3286779,6478919,8156,0,9,247,0,
3287034,6478919,11405,0,4,236,0,
3287470,6478919,11405,0,4,222,0,
3285471,6478919,11405,0,9,9,0,
3287294,6478919,11405,0,9,7,0,
3287329,6478919,11405,0,9,233,0,
3286934,6478919,11405,0,9,226,0,
35903,6478919,11327,0,9,229,0,
35846,6459795,11327,0,9,245,0,
3287072,310,11327,0,9,250,0,
3276858,310,11327,0,9,252,0,
3287795,6478919,8156,0,9,263,0,
3286941,6478919,8156,0,9,243,0,
3286789,6478919,11405,0,4,224,0,
3286677,6478919,11405,0,4,239,0,
3286937,6478919,11405,0,9,7,0,
3276768,6459795,11405,0,9,7,0,
3286698,6478919,11405,0,9,227,0,
3276945,6459795,11405,0,9,219,0,
144159,6478920,16024,0,10,425,0,
35971,6478919,11327,0,9,245,0,
2813667,946732,16016,0,10,437,5,
3287027,310,11327,0,9,256,0,
3300418,4987136,12450,0,10,479,0,
3287623,6478919,8156,0,9,246,0,
3299401,6478920,12191,0,5,456,4,
3286450,6478919,11405,0,4,236,0,
3299260,6478920,16111,0,9,290,1,
3287312,6478919,11405,0,9,7,0,
3297438,6478920,16109,0,10,145,1,
3286500,6478919,11405,0,9,224,0,
2135783,6459796,16590,0,10,468,0,
35967,6459795,11327,0,9,234,0,
832980,4901040,16600,0,10,485,8,
3286848,310,11327,0,9,241,0,
3299887,1037976,12658,0,10,485,7,
3287068,6478919,8156,0,9,252,0,
3301230,6478920,11855,0,5,456,7,
3286864,6478919,11405,0,4,232,0,
3287769,6478919,11405,0,4,235,0,
3287124,6478919,11405,0,4,222,0,
3287154,6478919,11405,0,4,227,0,
3286100,6478919,11405,0,9,6,0,
