PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_L1D_CACHE_READS,PERF_COUNT_L1D_CACHE_READ_MISSES,
36634,2268,9869,0,2849,77,
34763,2268,9869,0,2849,80,
34850,2365,9869,0,2854,89,
34731,2365,9869,0,2854,79,
34793,2365,9869,0,2854,93,
34755,2365,9869,0,2854,86,
34909,2373,9869,0,2861,91,
34903,2504,9869,0,2854,84,
34905,2518,9869,0,2858,86,
46324,2366,18687,1,5264,283,
34484,2365,9869,0,2854,71,
34524,2365,9869,0,2854,83,
34759,2365,9869,0,2854,81,
41650,2366,12313,1,3542,244,
34696,2333,9869,0,2853,85,
34873,2504,9869,0,2854,91,
34983,2392,9869,0,2865,96,
34761,2499,9869,0,2854,72,
34896,2388,9869,0,2861,86,
35021,2523,9869,0,2858,81,
34835,2383,9869,0,2861,81,
34851,2518,9869,0,2858,83,
34950,2397,9869,0,2865,86,
34799,2504,9869,0,2854,82,
34755,2392,9869,0,2865,78,
34860,2499,14505,0,4215,322,
34977,2388,9869,0,2861,90,
34758,2523,9869,0,2858,73,
34732,2383,9869,0,2861,88,
35365,2518,9869,0,2858,80,
34845,2397,9869,0,2865,90,
34793,2504,9869,0,2854,86,
35003,2392,9869,0,2865,86,
34844,2499,9869,0,2854,82,
34833,2383,9869,0,2861,80,
35028,2523,9869,0,2858,93,
35013,2392,9869,0,2865,89,
35037,2499,9869,0,2854,77,
34936,2388,9869,0,2861,86,
35027,2499,9869,0,2854,79,
34941,2365,9869,0,2854,84,
34952,2352,9869,0,2857,82,
35137,2513,9869,0,2858,85,
35057,2392,9869,0,2865,87,
34918,2499,9869,0,2854,80,
35098,2387,9869,0,2865,92,
35087,2499,9869,0,2854,86,
34855,2365,9869,0,2854,86,
34926,2333,9869,0,2853,89,
34906,2365,9869,0,2854,86,
34984,2352,9869,0,2857,91,
35063,2518,9869,0,2858,78,
35142,2392,9869,0,2865,92,
43001,2514,12509,1,3599,254,
34971,2387,9869,0,2865,81,
35117,2523,9869,0,2858,88,
35006,2365,9869,0,2854,85,
34844,2352,9869,0,2857,76,
34911,2518,9869,0,2858,78,
34970,2392,9869,0,2865,83,
34996,2504,9869,0,2854,86,
35052,2388,9869,0,2861,91,
35193,2523,9869,0,2858,85,
42165,2366,12318,1,3544,248,
34898,2333,9869,0,2853,78,
34966,2365,9869,0,2854,90,
42107,2353,12313,1,3545,244,
34963,2523,9869,0,2858,80,
34893,2365,9869,0,2854,87,
35014,2333,9869,0,2853,84,
34963,2513,9869,0,2858,84,
34871,2392,9869,0,2865,82,
35002,2513,9869,0,2858,81,
34931,2388,9869,0,2861,92,
34984,2494,9869,0,2854,75,
34935,2365,9869,0,2854,94,
42102,2334,12313,1,3541,246,
34912,2504,9869,0,2854,84,
35075,2387,9869,0,2865,92,
35089,2523,9869,0,2858,83,
34897,2365,9869,0,2854,85,
34832,2333,9869,0,2853,82,
34956,2365,9869,0,2854,78,
34756,2333,9869,0,2853,83,
34789,2365,9869,0,2854,83,
35002,2333,9869,0,2853,87,
35007,2513,9869,0,2858,84,
35056,2392,9869,0,2865,79,
35180,2499,9869,0,2854,90,
35022,2388,9869,0,2861,91,
34996,2494,9869,0,2854,80,
35004,2383,9869,0,2861,82,
35206,2518,9869,0,2858,78,
35032,2397,9869,0,2865,86,
35135,2518,9869,0,2858,76,
35131,2392,9869,0,2865,90,
42285,2505,12313,1,3542,244,
34983,2387,9869,0,2865,78,
35127,2523,9869,0,2858,90,
35038,2383,9869,0,2861,92,
34903,2523,9869,0,2858,83,
34942,2365,9869,0,2854,84,
34967,2352,9869,0,2857,81,
34854,2523,9869,0,2858,84,
34921,2397,9869,0,2865,75,
34998,2518,9869,0,2858,88,
34886,2392,9869,0,2865,86,
35054,2504,9869,0,2854,80,
34971,2388,9869,0,2861,90,
35071,2523,9869,0,2858,81,
34966,2365,9869,0,2854,76,
34817,2352,16942,0,4911,375,
35072,2499,9869,0,2854,84,
34916,2365,9869,0,2854,81,
34854,2333,9869,0,2853,82,
49093,2366,14389,0,4182,90,
34948,2352,9869,0,2857,82,
34894,2513,9869,0,2858,83,
35086,2494,9869,0,2854,99,
52362,2353,16721,1,4839,239,
34999,2518,9869,0,2858,82,
34870,2392,9869,0,2865,81,
34877,2513,9869,0,2858,82,
48241,2388,14318,0,2861,92,
34807,2523,9869,0,2858,80,
34843,2365,9869,0,2854,86,
34794,2352,9869,0,2857,77,
44610,2518,9869,0,2858,85,
35038,2392,9869,0,2865,96,
35087,2499,9869,0,2854,80,
35251,2387,9869,0,2865,79,
35312,2499,9869,0,2854,89,
34904,2365,9869,0,2854,82,
34878,2352,9869,0,2857,81,
34938,2504,9869,0,2854,80,
34967,2387,9869,0,2865,86,
42332,2500,12313,1,3542,243,
35095,2365,9869,0,2854,89,
34907,2352,9869,0,2857,80,
35105,2504,9869,0,2854,82,
34929,2392,9869,0,2865,85,
34802,2504,9869,0,2854,80,
34928,2388,9869,0,2861,87,
34936,2523,9869,0,2858,92,
34965,2383,9869,0,2861,78,
35103,2494,9869,0,2854,82,
42080,2366,12313,1,3542,241,
34892,2333,9869,0,2853,81,
35031,2518,9869,0,2858,91,
35020,2392,9869,0,2865,84,
34918,2499,9869,0,2854,77,
34974,2388,9869,0,2861,89,
35078,2523,9869,0,2858,87,
34772,2365,9869,0,2854,79,
34911,2352,9869,0,2857,81,
35109,2518,9869,0,2858,85,
34944,2392,9869,0,2865,86,
34954,2499,9869,0,2854,80,
34999,2388,9869,0,2861,92,
34984,2499,9869,0,2854,79,
35301,2383,9869,0,2861,89,
35093,2518,9869,0,2858,83,
35088,2397,9869,0,2865,83,
34864,2499,9869,0,2854,87,
34972,2387,9869,0,2865,77,
35085,2523,9869,0,2858,92,
34975,2383,9869,0,2861,85,
34924,2518,9869,0,2858,87,
34972,2397,9869,0,2865,87,
34981,2518,9869,0,2858,85,
34816,2392,9869,0,2865,83,
34919,2499,9869,0,2854,77,
34911,2388,9869,0,2861,78,
34885,2499,9869,0,2854,83,
34972,2383,9869,0,2861,80,
34973,2518,9869,0,2858,91,
34892,2365,9869,0,2854,84,
34844,2333,9869,0,2853,82,
34839,2504,9869,0,2854,81,
35010,2392,9869,0,2865,88,
34906,2523,9869,0,2858,88,
34825,2383,9869,0,2861,81,
35001,2518,9869,0,2858,87,
42173,2366,12313,1,3542,233,
34820,2333,9869,0,2853,82,
35066,2518,9869,0,2858,90,
35004,2392,9869,0,2865,85,
34923,2513,9869,0,2858,82,
34957,2387,9869,0,2865,85,
35097,2499,9869,0,2854,81,
34834,2365,9869,0,2854,88,
34933,2352,9869,0,2857,85,
34967,2518,9869,0,2858,86,
34954,2392,9869,0,2865,88,
34921,2504,9869,0,2854,76,
34900,2387,9869,0,2865,83,
35138,2523,9869,0,2858,89,
34816,2365,9869,0,2854,84,
34785,2352,9869,0,2857,79,
35144,2499,9869,0,2854,88,
34943,2365,9869,0,2854,90,
34816,2352,9869,0,2857,78,
35036,2504,9869,0,2854,86,
34806,2392,9869,0,2865,84,
35247,2499,9869,0,2854,77,
34889,2387,9869,0,2865,86,
34994,2499,9869,0,2854,85,
34885,2365,9869,0,2854,81,
34829,2352,9869,0,2857,78,
34964,2518,9869,0,2858,78,
34874,2392,9869,0,2865,85,
34928,2513,9869,0,2858,80,
34934,2494,9869,0,2854,87,
47321,2353,18706,1,5271,275,
34855,2513,9869,0,2858,84,
34990,2392,9869,0,2865,83,
35051,2504,9869,0,2854,80,
35023,2388,9869,0,2861,91,
34852,2518,9869,0,2858,78,
34971,2392,9869,0,2865,94,
42267,2500,12313,1,3542,241,
34934,2387,9869,0,2865,82,
35196,2523,9869,0,2858,94,
35008,2397,9869,0,2865,81,
34878,2513,9869,0,2858,81,
34888,2387,9869,0,2865,83,
35129,2523,9869,0,2858,83,
34851,2365,9869,0,2854,86,
34763,2352,9869,0,2857,79,
35036,2504,9869,0,2854,88,
34923,2392,9869,0,2865,86,
34911,2499,9869,0,2854,76,
35028,2388,9869,0,2861,88,
34936,2499,9869,0,2854,82,
34871,2365,9869,0,2854,91,
34932,2333,9869,0,2853,90,
34870,2365,9869,0,2854,82,
34730,2333,9869,0,2853,84,
34975,2397,9869,0,2865,83,
35066,2518,9869,0,2858,76,
34911,2392,9869,0,2865,89,
34937,2499,9869,0,2854,82,
34949,2387,9869,0,2865,91,
34991,2518,9869,0,2858,84,
34856,2365,9869,0,2854,79,
34805,2352,9869,0,2857,79,
34998,2523,9869,0,2858,78,
34867,2365,9869,0,2854,86,
34838,2333,9869,0,2853,80,
34869,2365,9869,0,2854,80,
34898,2352,9869,0,2857,88,
34984,2504,9869,0,2854,78,
34999,2392,9869,0,2865,87,
42204,2514,12313,1,3546,239,
34916,2387,9869,0,2865,74,
35011,2523,9869,0,2858,92,
34859,2365,9869,0,2854,86,
34772,2352,9869,0,2857,80,
34928,2518,9869,0,2858,82,
34899,2365,9869,0,2854,82,
34827,2352,9869,0,2857,84,
34938,2499,9869,0,2854,81,
34940,2365,9869,0,2854,91,
34824,2352,9869,0,2857,88,
34876,2518,9869,0,2858,79,
34933,2397,9869,0,2865,89,
34994,2504,9869,0,2854,81,
34880,2392,9869,0,2865,90,
34917,2504,9869,0,2854,81,
34819,2365,9869,0,2854,90,
34845,2352,9869,0,2857,82,
35143,2518,9869,0,2858,76,
34913,2392,9869,0,2865,99,
42298,2500,12313,1,3542,240,
35036,2388,9869,0,2861,79,
34874,2523,9869,0,2858,91,
34920,2365,9869,0,2854,92,
34788,2352,9869,0,2857,84,
34933,2504,9869,0,2854,86,
35205,2388,9869,0,2861,87,
34973,2494,9869,0,2854,86,
35190,2383,9869,0,2861,82,
34970,2523,9869,0,2858,89,
42176,2366,12313,1,3542,243,
35004,2352,9869,0,2857,81,
34970,2523,9869,0,2858,92,
34937,2397,9869,0,2865,87,
34921,2518,9869,0,2858,80,
34924,2392,9869,0,2865,81,
35046,2499,9869,0,2854,73,
34866,2388,9869,0,2861,82,
34923,2518,9869,0,2858,80,
34884,2365,9869,0,2854,90,
34848,2333,9869,0,2853,85,
34915,2518,9869,0,2858,79,
34950,2392,9869,0,2865,86,
34972,2499,9869,0,2854,82,
34957,2388,9869,0,2861,79,
34910,2523,9869,0,2858,92,
34883,2365,9869,0,2854,88,
34819,2333,9869,0,2853,87,
34906,2383,9869,0,2861,86,
35139,2518,9869,0,2858,82,
42154,2366,12349,1,3545,236,
34944,2352,9869,0,2857,80,
35029,2499,9869,0,2854,100,
34918,2365,9869,0,2854,85,
34779,2333,9869,0,2853,85,
34978,2513,9869,0,2858,88,
34945,2392,9869,0,2865,87,
34859,2513,9869,0,2858,76,
34954,2387,9869,0,2865,83,
35109,2499,9869,0,2854,89,
35038,2383,9869,0,2861,90,
34864,2494,9869,0,2854,80,
35002,2397,9869,0,2865,81,
34931,2504,9869,0,2854,82,
34930,2392,9869,0,2865,85,
34799,2504,9869,0,2854,82,
35222,2387,9869,0,2865,86,
34921,2499,9869,0,2854,85,
34864,2365,9869,0,2854,86,
34852,2333,9869,0,2853,85,
42269,2505,12313,1,3542,234,
34869,2388,9869,0,2861,73,
34960,2499,9869,0,2854,93,
35102,2383,9869,0,2861,89,
34915,2523,9869,0,2858,86,
34946,2392,9869,0,2865,90,
34895,2504,9869,0,2854,86,
34926,2388,9869,0,2861,84,
34860,2523,9869,0,2858,79,
34930,2365,9869,0,2854,97,
47060,2353,18942,1,5350,289,
34948,2513,9869,0,2858,80,
34983,2392,9869,0,2865,80,
35070,2499,9869,0,2854,81,
34898,2388,9869,0,2861,84,
34952,2523,9869,0,2858,82,
34891,2365,9869,0,2854,89,
34788,2333,9869,0,2853,87,
34810,2365,9869,0,2854,84,
34855,2352,9869,0,2857,85,
42489,2519,12313,1,3546,246,
35389,2392,9869,0,2865,87,
34966,2504,9869,0,2854,87,
34985,2388,9869,0,2861,87,
34846,2494,9869,0,2854,82,
34933,2397,9869,0,2865,80,
34992,2504,9869,0,2854,76,
34857,2392,9869,0,2865,81,
34926,2504,9869,0,2854,84,
34934,2388,9869,0,2861,89,
42314,2524,12313,1,3546,249,
35084,2397,9869,0,2865,81,
35000,2513,9869,0,2858,96,
