PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
864177,2510,14493,0,2,4904,0,0,0,
1093646,2534,17714,0,2,5606,0,0,0,
946425,448,3988,0,4,3116,513,0,0,
888252,1895,3922,0,4,3135,519,0,0,
921797,88,6792,0,9,1609,2173,0,0,
919045,88,6850,0,9,1606,2348,3,7,
927048,87,6754,0,14,1630,2154,0,0,
704013,105,4382,0,13,0,788,0,0,
707080,106,4360,0,13,0,796,0,0,
779455,124,39485,0,25,0,5245,0,0,
399893,123,9826,0,15,891,2646,0,0,
398910,421,14607,0,16,1788,0,0,0,
854929,438,23445,0,5,4562,0,0,0,
865515,418,14230,0,2,2685,0,0,0,
1092934,440,17659,0,2,5593,0,0,0,
892098,1820,3918,0,4,3129,509,0,0,
938453,437,3925,0,4,3096,509,0,0,
925485,87,6812,0,9,1612,2155,0,0,
924130,87,6782,0,9,1605,2148,0,0,
709281,106,4355,0,13,0,758,0,0,
712790,106,4394,0,13,0,775,0,0,
701946,106,4376,0,13,0,730,0,0,
702679,106,4407,0,13,0,724,0,0,
395541,123,9802,0,15,897,2645,0,0,
397410,123,7477,0,15,885,2620,0,0,
399462,411,14585,0,16,1808,0,0,0,
861618,439,17677,0,2,5603,0,0,0,
1093053,438,17651,0,2,5587,0,0,0,
1091358,429,17671,0,2,4923,0,0,0,
1092620,292,13183,0,2,5601,0,0,0,
889298,1890,3872,0,4,3142,521,0,0,
951355,454,3928,0,4,3134,520,0,0,
921614,87,6848,0,9,1612,2157,0,0,
928722,87,6841,0,14,1290,1367,0,7,
710323,106,4353,0,13,0,759,0,0,
708755,106,4368,0,13,0,764,0,0,
18446744073709550395,124,7212,0,14,889,1447,0,0,
400934,122,9793,0,15,895,2650,0,0,
397882,122,9844,0,15,891,2635,0,0,
393790,433,14629,0,16,1803,0,0,0,
411521,423,19492,0,16,1775,0,0,0,
402899,394,10491,0,16,1797,0,0,0,
862379,437,17652,0,2,5605,0,0,0,
1321752,2368,17732,0,2,5614,0,0,0,
1452533,455,15510,0,2,5761,347,0,0,
887623,1919,3924,0,4,3137,508,0,0,
919798,87,6690,0,9,1591,2157,0,0,
921145,88,6807,0,9,1606,2148,0,0,
709978,106,4365,0,13,0,803,0,0,
704279,107,4354,0,13,0,792,0,0,
18446744073690445354,122,7276,0,14,893,1443,0,0,
267,124,7283,0,14,892,1464,0,0,
630679,140,12631,0,2,1790,3209,0,0,
634328,140,12556,0,2,1792,3230,0,0,
630033,140,12547,0,2,1793,3209,0,0,
579193,388,3909,0,4,344,1341,0,0,
968429,105,4109,0,6,2445,1785,0,0,
787783,89,6797,0,7,2960,1782,0,0,
788096,89,6736,0,7,2878,1767,0,0,
783814,87,6680,0,7,2898,1765,0,0,
922183,88,6797,0,7,1620,2182,0,0,
922046,88,6789,0,7,1613,2165,0,0,
918787,88,6832,0,7,1629,2136,0,0,
1067916,86,9558,0,15,2387,0,0,0,
1064752,86,9714,0,15,2391,0,0,0,
1312271,87,17044,0,17,5223,0,0,0,
1064615,430,9228,0,14,0,0,0,0,
1066894,444,9314,0,14,0,0,0,0,
397480,428,11769,0,15,890,1382,0,0,
628498,440,19534,0,4,3329,3196,0,0,
321,381,10385,0,2,1776,3203,0,0,
826,429,14582,0,2,1772,3187,0,0,
579068,1936,3906,0,4,3109,1649,1,0,
573973,456,3927,0,4,3101,1978,0,0,
928257,88,6838,0,7,1628,2205,0,0,
918801,88,6760,0,12,3193,1858,14,1,
1076463,87,9612,0,15,2377,0,0,0,
1225121,88,12656,0,16,3180,0,0,0,
1148666,137,10420,0,14,494,0,0,0,
925700,143,4964,0,13,0,0,0,0,
398899,420,11800,0,15,896,1342,0,0,
401531,395,7749,0,15,899,1362,0,0,
399262,426,11838,0,15,887,1370,0,0,
400771,427,11772,0,15,891,1345,0,0,
400285,381,7746,0,15,897,1339,0,0,
399540,413,11798,0,15,903,1353,0,0,
399107,421,11807,0,15,879,1368,0,0,
400895,384,7770,0,15,903,1360,0,0,
400398,415,11808,0,15,903,1344,0,0,
399561,411,11812,0,15,901,1364,0,0,
397134,400,7697,0,15,888,1365,0,0,
402116,418,11853,0,15,890,1367,0,0,
399973,413,11710,0,15,882,1380,0,0,
396799,384,7732,0,15,887,1349,0,0,
400988,410,11777,0,15,885,1371,0,0,
402162,427,11892,0,15,890,1342,0,0,
401134,420,11713,0,15,870,1377,0,0,
398786,434,11893,0,15,899,1362,0,0,
398519,412,11798,0,15,896,1347,0,0,
398841,422,11755,0,15,891,1361,0,0,
397803,420,11792,0,15,877,1366,0,0,
398921,423,11871,0,15,885,1375,0,0,
397507,435,11884,0,15,892,1354,0,0,
397048,427,11816,0,15,889,1364,0,0,
401913,425,11864,0,15,892,1360,0,0,
402473,401,7704,0,15,885,1356,0,0,
401141,418,11675,0,15,875,1363,0,0,
398295,414,11721,0,15,890,1365,0,0,
398571,404,11595,0,15,872,1367,0,0,
407384,423,11944,0,15,893,1358,0,0,
400722,424,11871,0,15,897,1323,0,0,
398167,387,7765,0,15,903,1348,0,0,
400351,429,11893,0,15,883,1354,0,0,
397129,422,11848,0,15,908,1357,0,0,
399022,420,11812,0,15,880,1359,0,0,
400037,424,11824,0,15,878,1350,0,0,
397871,428,11879,0,15,892,1381,0,0,
400123,424,7761,0,15,894,1350,0,0,
399913,430,11894,0,15,893,1349,0,0,
400152,420,11703,0,15,875,1342,0,0,
397247,408,11737,0,15,903,1347,0,0,
18446744073709549525,426,14480,0,2,1769,3190,0,0,
18446744073709545429,420,14431,0,2,1789,3195,0,0,
18446744073709331861,415,14516,0,5,1781,3216,0,0,
